inning,pitcher,season,hits_allowed,walks,strikeouts,batters_faced,runs_allowed,ERA_season,WHIP_season,FIP_season,K/9_season,BB/9_season,xFIP_season,CSW%_season,xERA_season,runs_rolling10_team,OBP_team,SLG_team,K_rate_team,BB_rate_team,is_home_team,label
1,571945,2023,7,0,9,10,3,4.78,1.32,4.27,6.12,1.74,4.76,0.25,5.44,0.7,0.3409090909090909,0.5405405405405406,0.2727272727272727,0.1590909090909091,False,1
1,664299,2023,3,2,4,9,0,4.56,1.27,4.58,8.83,3.44,5.16,0.252,4.42,0.5,0.2857142857142857,0.2058823529411764,0.1666666666666666,0.1428571428571428,True,0
1,641540,2023,4,1,4,9,0,3.7,1.26,4.27,7.3,2.87,4.39,0.2739999999999999,4.48,0.1,0.1428571428571428,0.21875,0.3142857142857143,0.0571428571428571,True,0
1,669923,2023,3,0,7,9,0,3.35,1.04,3.34,8.12,0.9,3.63,0.273,3.9,0.4,0.3170731707317073,0.4864864864864865,0.2682926829268293,0.0975609756097561,False,0
1,608337,2023,7,4,4,9,5,4.88,1.31,5.27,9.96,3.56,4.45,0.288,4.61,0.3,0.3095238095238095,0.4358974358974359,0.1904761904761904,0.0476190476190476,True,1
1,676664,2023,4,1,4,9,3,4.54,1.26,5.15,8.41,2.77,5.1,0.255,4.64,0.4,0.2368421052631578,0.4166666666666667,0.3947368421052631,0.0263157894736842,True,1
1,622491,2023,5,5,4,9,4,3.34,1.1,3.81,10.01,2.56,3.81,0.29,3.79,0.4,0.3414634146341463,0.5,0.2439024390243902,0.1219512195121951,False,1
1,680694,2023,0,1,5,7,0,2.83,1.04,3.27,8.96,2.35,3.53,0.291,3.77,0.3,0.2162162162162162,0.2121212121212121,0.2702702702702703,0.1081081081081081,False,0
1,675911,2023,6,3,7,9,3,3.86,1.09,2.85,13.55,2.8,2.92,0.3379999999999999,3.09,0.4,0.3191489361702128,0.4047619047619047,0.2340425531914893,0.0851063829787234,False,1
1,434378,2023,2,3,5,9,0,3.22,1.13,3.85,7.98,2.49,4.56,0.259,3.63,0.6,0.3181818181818182,0.25,0.1590909090909091,0.1363636363636363,True,0
1,518876,2023,5,2,5,9,1,3.29,1.19,3.85,9.47,3.5,3.83,0.276,4.1,0.4,0.3255813953488372,0.45,0.1860465116279069,0.0697674418604651,False,0
